caso_id,llamado_fecha_hora,llamado_provincia,llamante_edad,llamante_genero,llamante_vinculo,caso_judicializado,hecho_lugar,victima_a_resguardo,victima_edad,victima_genero,victima_nacionalidad,victima_vinculo_agresor,victima_discapacidad,victima_convive_agresor,vs_violacion_via_vaginal,vs_violacion_via_anal,vs_violacion_via_oral,vs_tentativa_violacion,vs_tocamiento_sexual,vs_intento_tocamiento,vs_Intento_violación_tercera_persona,vs_grooming,vs_exhibicionismo,vs_amenazas_verbales_contenido_sexual,vs_explotacion_sexual,vs_explotacion_sexual_comercial,vs_explotacion_sexual_viajes_turismo,vs_sospecha_trata_personas_fines_sexuales,vs_existencia_facilitador_corrupcion_nnya,vs_obligacion_sacarse_fotos_pornograficas,vs_eyaculacion_partes_cuerpo,vs_acoso_sexual,vs_iniciacion_sexual_forzada_inducida,vs_otra_forma_violencia_sexual,vs_no_sabe_no_contesta,ofv_sentimiento_amenaza,ofv_amenaza_explicita,ofv_violencia_fisica,ofv_intento_ahorcar,ofv_intento_quemar,ofv_intento_ahogar,ofv_amenaza_muerte,ofv_uso_sustancias_psicoactivas,ofv_intento_privacion_libertad,ofv_privacion_libertad,ofv_uso_arma_blanca,ofv_uso_arma_fuego,ofv_enganio_seduccion,ofv_intento_matar,ofv_uso_animal_victimizar,ofv_grooming,ofv_otra_forma_violencia,ofv_no_sabe_no_contesta,llamado_provincia_indec_id
,2019-01-02 12:17:03,Jujuy,35,Femenino,Familiar,NO,Vivienda de la Víctima,SI,Sin Datos,Femenino,Argentina,Padrastro,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,38
,2019-01-02 12:42:37,Santa Fé,45,Femenino,Madre,NO,Otro(Especificar en observaciones),SI,15,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,82
,2019-01-02 13:26:26,NS/NC,38,Femenino,Víctima,Sin datos,NS/NC,SI,38,Femenino,Argentina,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,
,2019-01-02 13:27:16,Buenos Aires,35,Femenino,Familiar,NO,Vivienda de la Víctima,SI,3,Masculino,Argentina,Tío,NS/NC,NS/NC,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-02 13:27:16,Buenos Aires,35,Femenino,Familiar,NO,Vivienda de la Víctima,SI,10,Masculino,Argentina,NS/NC,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-02 13:47:55,NS/NC,Sin dato,Femenino,Otro conocido,Sin datos,NS/NC,SI,Sin Datos,Femenino,NS/NC,NS/NC,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,
,2019-01-02 14:22:31,Buenos Aires,Sin dato,Femenino,Víctima,NO,NS/NC,SI,Sin Datos,Femenino,Argentina,Otro pariente,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-02 14:56:48,San Juan,33,Femenino,Víctima,Sin datos,NS/NC,SI,33,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,70
,2019-01-07 17:57:10,Misiones,27,Femenino,Familiar,SI,Vivienda de la Víctima,SI,16,Femenino,NS/NC,Padrastro,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,54
,2019-01-07 18:57:52,Ciudad Autónoma de Buenos Aires,28,Femenino,Comisaría,SI,Vivienda de la Víctima,SI,45,Femenino,NS/NC,Desconocido,NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
